Entry ID,Recommended Enzyme Name,Reaction ID,Enzymatic Activity,EC Number,Gene,Organism,Strain/Tissue,Reaction,Cofactor,Cofactor Concentration,Substrate,Value Type,Value,Deviation,Units,Structure,Regulation,Regulation Mechanism,pH,Temp (›C),Buffer/Media,Uniprot,References,Data Point,Notes
1,phosphoglycerate kinase,,,2.7.2.3,,Escherichia coli,K123000wildtypePGK,ATP + 3-Phospho-D-glycerate = ADP + 3-Phospho-D-glyceroyl phosphate,,,ATP,concentration (A),Start: 0.0; End: 4.0,,mM,Complex: P0A799; ,,,7.2,22,"50 mM Imidazole chloride, 6 mM MgSO4, 0.2 mM EDTA, 0.2 mM NADH, *~20 ‘g/ml Glyceraldehyde phosphate dehydrogenase",P0A799,RF1,S1,experimental conditions are taken from: PubMed ID 5807214
2,phosphoglycerate kinase,,,2.7.2.3,,Escherichia coli,K123000wildtypePGK,ATP + 3-Phospho-D-glycerate = ADP + 3-Phospho-D-glyceroyl phosphate,,,3-Phospho-D-glycerate,concentration (B),10,,mM,Complex: P0A799; ,,,7.2,22,"50 mM Imidazole chloride, 6 mM MgSO4, 0.2 mM EDTA, 0.2 mM NADH, *~20 ‘g/ml Glyceraldehyde phosphate dehydrogenase",P0A799,RF1,S1,experimental conditions are taken from: PubMed ID 5807214
3,phosphoglycerate kinase,,,2.7.2.3,,Escherichia coli,K123000wildtypePGK,ATP + 3-Phospho-D-glycerate = ADP + 3-Phospho-D-glyceroyl phosphate,,,ATP,Km (Km),0.24,,mM,Complex: P0A799; ,,,7.2,22,"50 mM Imidazole chloride, 6 mM MgSO4, 0.2 mM EDTA, 0.2 mM NADH, *~20 ‘g/ml Glyceraldehyde phosphate dehydrogenase",P0A799,RF1,S1,"MgATP, experimental conditions are taken from: PubMed ID 5807214"
4,phosphoglycerate kinase,,,2.7.2.3,,Escherichia coli,XL1blueMRF'wildtype,ATP + 3-Phospho-D-glycerate = ADP + 3-Phospho-D-glyceroyl phosphate,,,,kcat (kcat),1480,,s^(-1),,,,,22,,,RF2,S2,
5,phosphoglycerate kinase,,,2.7.2.3,,Escherichia coli,XL1blueMRF'mutant71BLAchimericPGK/BLA,ATP + 3-Phospho-D-glycerate = ADP + 3-Phospho-D-glyceroyl phosphate,,,,kcat (kcat),681,,s^(-1),,,,,22,,,RF2,S3,
6,phosphoglycerate kinase,,,2.7.2.3,,Escherichia coli,XL1blueMRF'mutant89BLAchimericPGK/BLA,ATP + 3-Phospho-D-glycerate = ADP + 3-Phospho-D-glyceroyl phosphate,,,,kcat (kcat),326,,s^(-1),,,,,22,,,RF2,S4,
7,phosphoglycerate kinase,,,2.7.2.3,,Escherichia coli,XL1blueMRF'mutant129BLAchimericPGK/BLA,ATP + 3-Phospho-D-glycerate = ADP + 3-Phospho-D-glyceroyl phosphate,,,,kcat (kcat),296,,s^(-1),,,,,22,,,RF2,S5,
8,phosphoglycerate kinase,,,2.7.2.3,,Escherichia coli,XL1blueMRF'mutant290BLAchimericPGK/BLA,ATP + 3-Phospho-D-glycerate = ADP + 3-Phospho-D-glyceroyl phosphate,,,,kcat (kcat),555,,s^(-1),,,,,22,,,RF2,S6,
9,phosphoglycerate kinase,,,2.7.2.3,,Escherichia coli,XL1blueMRF'mutant71DHFRchimericPGK/DHFR,ATP + 3-Phospho-D-glycerate = ADP + 3-Phospho-D-glyceroyl phosphate,,,,kcat (kcat),503,,s^(-1),,,,,22,,,RF2,S7,
10,phosphoglycerate kinase,,,2.7.2.3,,Escherichia coli,XL1blueMRF'mutant89DHFRchimericPGK/DHFR,ATP + 3-Phospho-D-glycerate = ADP + 3-Phospho-D-glyceroyl phosphate,,,,kcat (kcat),681,,s^(-1),,,,,22,,,RF2,S8,
11,phosphoglycerate kinase,,,2.7.2.3,,Escherichia coli,XL1blueMRF'mutant290DHFRchimericPGK/DHFR,ATP + 3-Phospho-D-glycerate = ADP + 3-Phospho-D-glyceroyl phosphate,,,,kcat (kcat),370,,s^(-1),,,,,22,,,RF2,S9,
12,Phosphoglycerate kinase,,,,pgk,Escherichia coli,strain K12,ATP + 3-phospho-D-glycerate = ADP + 3-phospho-D-glyceroyl phosphate,,,Substrate,Binding site,36,,BLAST Subseq. Position,Monomer,,,,,,P0A799,RF4,,
13,Phosphoglycerate kinase,,,,pgk,Escherichia coli,strain K12,ATP + 3-phospho-D-glycerate = ADP + 3-phospho-D-glyceroyl phosphate,,,Substrate,Binding site,113,,BLAST Subseq. Position,Monomer,,,,,,P0A799,RF4,,
14,Phosphoglycerate kinase,,,,pgk,Escherichia coli,strain K12,ATP + 3-phospho-D-glycerate = ADP + 3-phospho-D-glyceroyl phosphate,,,Substrate,Binding site,146,,BLAST Subseq. Position,Monomer,,,,,,P0A799,RF4,,
15,Phosphoglycerate kinase,,,,pgk,Escherichia coli,strain K12,ATP + 3-phospho-D-glycerate = ADP + 3-phospho-D-glyceroyl phosphate,,,ATP,Binding site,197,,BLAST Subseq. Position,Monomer,,,,,,P0A799,RF4,,
16,Phosphoglycerate kinase,,,,pgk,Escherichia coli,strain K12,ATP + 3-phospho-D-glycerate = ADP + 3-phospho-D-glyceroyl phosphate,,,ATP,Binding site,314,,BLAST Subseq. Position,Monomer,,,,,,P0A799,RF4,,
17,Phosphoglycerate kinase,,,,pgk,Escherichia coli,strain K12,ATP + 3-phospho-D-glycerate = ADP + 3-phospho-D-glyceroyl phosphate,,,ATP,Nucleotide binding,340-343,,BLAST Subseq. Position,Monomer,,,,,,P0A799,RF4,,
