Entry ID,Recommended Enzyme Name,Reaction ID,Enzymatic Activity,EC Number,Gene,Organism,Strain/Tissue,Reaction,Cofactor,Cofactor Concentration,Substrate,Value Type,Value,Deviation,Units,Structure,Regulation,Regulation Mechanism,pH,Temp (øC),Buffer/Media,Uniprot,References,Data Point,Notes
1,ribulose-phosphate 3-epimerase,,,5.1.3.1,rpe,Escherichia coli ,K-12 substr. MG1655,D-ribulose 5-phosphate  _  D-xylulose 5-phosphate Enzymes:      ribulose-phosphate 3-epimerase rpe                       ribulose phosphate 3-epimerase rpe                       ribulose-phosphate 3-epimerase rpe,"Fe2+, ",,D-ribulose 5-phosphate,Km ,1600,,_M,,,,,,,P0AG07,RF1,,
2,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12wildtype,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Co2+,,D-Ribulose 5-phosphate,concentration (A),Start: 0.0625; End: 20.0,,mM,Complex: ((P32719)*2)*3; ,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S1,experimental conditions are taken from: PubMed ID 16489742
3,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12wildtype,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Co2+,,,kcat (kcat),2.0,0.8,s^(-1),Complex: ((P32719)*2)*3; ,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S1,experimental conditions are taken from: PubMed ID 16489742
4,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12wildtype,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Co2+,,D-Ribulose 5-phosphate,kcat/Km (kcat_Km),670.0,,M^(-1)*s^(-1),Complex: ((P32719)*2)*3; ,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S1,experimental conditions are taken from: PubMed ID 16489742
5,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12wildtype,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Co2+,,D-Ribulose 5-phosphate,Km (Km),3.0,0.3,mM,Complex: ((P32719)*2)*3; ,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S1,experimental conditions are taken from: PubMed ID 16489742
6,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12wildtype,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Mn2+,,D-Ribulose 5-phosphate,concentration (A),Start: 0.0625; End: 20.0,,mM,((P32719)*2)*3;,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S2,experimental conditions are taken from: PubMed ID 16489742
7,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12wildtype,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Mn2+,,D-Ribulose 5-phosphate,kcat/Km (kcat_Km),190.0,,M^(-1)*s^(-1),((P32719)*2)*3;,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S2,experimental conditions are taken from: PubMed ID 16489742
8,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12wildtype,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Zn2+,,D-Ribulose 5-phosphate,concentration (A),Start: 0.0625; End: 20.0,,mM,((P32719)*2)*3;,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S3,experimental conditions are taken from: PubMed ID 16489742
9,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12wildtype,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Zn2+,,D-Ribulose 5-phosphate,kcat/Km (kcat_Km),390.0,,M^(-1)*s^(-1),((P32719)*2)*3;,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S3,experimental conditions are taken from: PubMed ID 16489742
10,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12mutantdeltaT196,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Co2+,,D-Ribulose 5-phosphate,concentration (A),Start: 0.0625; End: 20.0,,mM,((P32719)*2)*3;,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S4,experimental conditions are taken from: PubMed ID 16489742
11,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12mutantdeltaT196,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Co2+,,,kcat (kcat),130.0,7,s^(-1),((P32719)*2)*3;,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S4,experimental conditions are taken from: PubMed ID 16489742
12,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12mutantdeltaT196,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Co2+,,D-Ribulose 5-phosphate,kcat/Km (kcat_Km),33000.0,,M^(-1)*s^(-1),((P32719)*2)*3;,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S4,experimental conditions are taken from: PubMed ID 16489742
13,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12mutantdeltaT196,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Co2+,,D-Ribulose 5-phosphate,Km (Km),3.9,0.5,mM,((P32719)*2)*3;,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S4,experimental conditions are taken from: PubMed ID 16489742
14,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12mutantdeltaS197,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Co2+,,D-Ribulose 5-phosphate,concentration (A),Start: 0.0625; End: 20.0,,mM,((P32719)*2)*3;,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S5,experimental conditions are taken from: PubMed ID 16489742
15,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12mutantdeltaS197,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Co2+,,,kcat (kcat),240.0,14,s^(-1),((P32719)*2)*3;,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S5,experimental conditions are taken from: PubMed ID 16489742
16,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12mutantdeltaS197,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Co2+,,D-Ribulose 5-phosphate,kcat/Km (kcat_Km),85000.0,,M^(-1)*s^(-1),((P32719)*2)*3;,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S5,experimental conditions are taken from: PubMed ID 16489742
17,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12mutantdeltaS197,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Co2+,,D-Ribulose 5-phosphate,Km (Km),2.8,0.6,mM,((P32719)*2)*3;,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S5,experimental conditions are taken from: PubMed ID 16489742
18,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12mutantdeltaG198,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Co2+,,D-Ribulose 5-phosphate,concentration (A),Start: 0.0625; End: 20.0,,mM,((P32719)*2)*3;,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S6,experimental conditions are taken from: PubMed ID 16489742
19,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12mutantdeltaG198,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Co2+,,,kcat (kcat),440.0,20,s^(-1),((P32719)*2)*3;,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S6,experimental conditions are taken from: PubMed ID 16489742
20,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12mutantdeltaG198,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Co2+,,D-Ribulose 5-phosphate,kcat/Km (kcat_Km),86000.0,,M^(-1)*s^(-1),((P32719)*2)*3;,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S6,experimental conditions are taken from: PubMed ID 16489742
21,ribulose-phosphate 3-epimerase,,,5.1.3.1,,Escherichia coli,K12mutantdeltaG198,D-Ribulose 5-phosphate = D-Xylulose 5-phosphate,Co2+,,D-Ribulose 5-phosphate,Km (Km),5.1,0.5,mM,((P32719)*2)*3;,,,7.5,,"50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 æg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2",P32719,RF2,S6,experimental conditions are taken from: PubMed ID 16489742
22,Ribulose-phosphate 3-epimerase,Pentose-5-phosphate 3-epimerasePPE,,,rpe,Escherichia coli,strain K12,D-ribulose 5-phosphate = D-xylulose 5-phosphate,Co2+,,Substrate,Binding site,9,,BLAST Subseq. Position,,,,,,,P0AG07,RF1,,
23,Ribulose-phosphate 3-epimerase,Pentose-5-phosphate 3-epimerasePPE,,,rpe,Escherichia coli,strain K12,D-ribulose 5-phosphate = D-xylulose 5-phosphate,Co2+,,Divalent metal cation,Metal binding,34,,BLAST Subseq. Position,,,,,,,P0AG07,RF1,,
24,Ribulose-phosphate 3-epimerase,Pentose-5-phosphate 3-epimerasePPE,,,rpe,Escherichia coli,strain K12,D-ribulose 5-phosphate = D-xylulose 5-phosphate,Co2+,,Proton acceptor,Active site,36,,BLAST Subseq. Position,,,,,,,P0AG07,RF1,,
25,Ribulose-phosphate 3-epimerase,Pentose-5-phosphate 3-epimerasePPE,,,rpe,Escherichia coli,strain K12,D-ribulose 5-phosphate = D-xylulose 5-phosphate,Co2+,,Divalent metal cation,Metal binding,36,,BLAST Subseq. Position,,,,,,,P0AG07,RF1,,
26,Ribulose-phosphate 3-epimerase,Pentose-5-phosphate 3-epimerasePPE,,,rpe,Escherichia coli,strain K12,D-ribulose 5-phosphate = D-xylulose 5-phosphate,Co2+,,Divalent metal cation,Metal binding,68,,BLAST Subseq. Position,,,,,,,P0AG07,RF1,,
27,Ribulose-phosphate 3-epimerase,Pentose-5-phosphate 3-epimerasePPE,,,rpe,Escherichia coli,strain K12,D-ribulose 5-phosphate = D-xylulose 5-phosphate,Co2+,,Substrate,Binding site,68,,BLAST Subseq. Position,,,,,,,P0AG07,RF1,,
28,Ribulose-phosphate 3-epimerase,Pentose-5-phosphate 3-epimerasePPE,,,rpe,Escherichia coli,strain K12,D-ribulose 5-phosphate = D-xylulose 5-phosphate,Co2+,,Proton donor,Active site,177,,BLAST Subseq. Position,,,,,,,P0AG07,RF1,,
29,Ribulose-phosphate 3-epimerase,Pentose-5-phosphate 3-epimerasePPE,,,rpe,Escherichia coli,strain K12,D-ribulose 5-phosphate = D-xylulose 5-phosphate,Co2+,,Divalent metal cation,Metal binding,177,,BLAST Subseq. Position,,,,,,,P0AG07,RF1,,
30,Ribulose-phosphate 3-epimerase,Pentose-5-phosphate 3-epimerasePPE,,,rpe,Escherichia coli,strain K12,D-ribulose 5-phosphate = D-xylulose 5-phosphate,Co2+,,Substrate; via amide nitrogen,Binding site,179,,BLAST Subseq. Position,,,,,,,P0AG07,RF1,,
31,D-allulose-6-phosphate 3-epimerase,,,,alsE,Escherichia coli,strain K12,,Co2+,,Substrate,Binding site,6,,BLAST Subseq. Position,Homohexamer,,,,,,P32719,RF2,,
32,D-allulose-6-phosphate 3-epimerase,,,,alsE,Escherichia coli,strain K12,,Co2+,,Divalent metal cation,Metal binding,30,,BLAST Subseq. Position,Homohexamer,,,,,,P32719,RF2,,
33,D-allulose-6-phosphate 3-epimerase,,,,alsE,Escherichia coli,strain K12,,Co2+,,Proton acceptor,Active site,32,,BLAST Subseq. Position,Homohexamer,,,,,,P32719,RF2,,
34,D-allulose-6-phosphate 3-epimerase,,,,alsE,Escherichia coli,strain K12,,Co2+,,Divalent metal cation,Metal binding,32,,BLAST Subseq. Position,Homohexamer,,,,,,P32719,RF2,,
35,D-allulose-6-phosphate 3-epimerase,,,,alsE,Escherichia coli,strain K12,,Co2+,,Divalent metal cation,Metal binding,63,,BLAST Subseq. Position,Homohexamer,,,,,,P32719,RF2,,
36,D-allulose-6-phosphate 3-epimerase,,,,alsE,Escherichia coli,strain K12,,Co2+,,Substrate,Binding site,63,,BLAST Subseq. Position,Homohexamer,,,,,,P32719,RF2,,
37,D-allulose-6-phosphate 3-epimerase,,,,alsE,Escherichia coli,strain K12,,Co2+,,Proton donor,Active site,173,,BLAST Subseq. Position,Homohexamer,,,,,,P32719,RF2,,
38,D-allulose-6-phosphate 3-epimerase,,,,alsE,Escherichia coli,strain K12,,Co2+,,Divalent metal cation,Metal binding,173,,BLAST Subseq. Position,Homohexamer,,,,,,P32719,RF2,,
